Source	ID	Title	Journal	Year_publication	doi	Geography	Higher_Geography	Year	Domain	System 	System_specific	Taxon_Group	Taxon	Taxon_specific	Impact	Impact_specific	Conservation_Group	Conservation_Action	Conservation_Action_specific	Tested_statistically	Response_variable	Response_Group	Predictor_variable	Statistical_method	Test_statistic	value	df	N	Direction_of_effect	P-value	Pearson_r	Pearson_r_conversion	Notes	Assignment	Validation
Other	Other_0090	Is an outstanding environment always preserved? When the most diverse cave in subterranean species becomes one of the most endangered in a landscape.	Revista Brasileira de Espeleologia	2017	NA	Brazil	Neotropical	2012	Terrestrial	Cave	Natural caves	Arthropoda ; Other invertebrates	Arthropoda ; Other invertebrates	Invertebrates	Surface habitat change	Deforestation ; Urbanization	Monitoring	Monitoring	monitoring of terrestrial and aquatic invertebrate communities and epikarst	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-	Ferreira	Mammola
Other	Other_0090	Is an outstanding environment always preserved? When the most diverse cave in subterranean species becomes one of the most endangered in a landscape.	Revista Brasileira de Espeleologia	2017	NA	Brazil	Neotropical	2012	Terrestrial	Cave	Natural caves	Arthropoda ; Other invertebrates	Arthropoda ; Other invertebrates	Invertebrates	Subterranean habitat change	Mining ; Destruction of speleothems ; Mining tailings ; Silting of drainage ; Graffiti	Monitoring	Monitoring	monitoring of terrestrial and aquatic invertebrate communities and epikarst	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-	Ferreira	Mammola
Other	Other_0092	MASS TOURISM and the MEDITERRANEAN MONK SEAL	The Monachus Guardian	1999	NA	Europe	Palearctic	NA	Aquatic	Anchialine/Marine	Marine cave	Other vertebrates	Mammalia: Other	Monachus monachus	Visitors	Tourism	Regulation	Regulate access	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Nanni	Mammola
Other	Other_0092	MASS TOURISM and the MEDITERRANEAN MONK SEAL	The Monachus Guardian	1999	NA	Europe	Palearctic	NA	Aquatic	Anchialine/Marine	Marine cave	Other vertebrates	Mammalia: Other	Monachus monachus	Poaching	Deliberate killing	Regulation	Regulate access	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Nanni	Mammola
Other	Other_0092	MASS TOURISM and the MEDITERRANEAN MONK SEAL	The Monachus Guardian	1999	NA	Europe	Palearctic	NA	Aquatic	Anchialine/Marine	Marine cave	Other vertebrates	Mammalia: Other	Monachus monachus	Surface habitat change	Direct assaults on seal habitat through the construction of hotels, roads, marinas and other tourist amenities.	Restoration	Habitat restoration	return to sandy beaches to promote recovery	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Nanni	Mammola
Other	Other_0093	Grundwasserökosysteme im Recht? Eine kritische Betrachtung zur rechtlichen Stellung von Grundwasserökosystemen. Are groundwater ecosystem rights being preserved? A critical evaluation of the legal background of groundwater ecosystems	Grundwasser – Zeitschrift der Fachsektion Hydrogeologie	2018	https://doi.org/10.1007/s00767-018-0394-3	Europe	Palearctic	NA	Aquatic	Groundwater	Area where EU legislation is valid	Not specific	Not specific	Not specific	All	NA	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summarizing current legislation and pointing out the gaps	Schmidt	Mammola
Other	Other_0094	1.6 Biotop- und Artenschutz im Grundwasser/Rechtliche Stellung der Grundasserökosysteme - eine persönliche Einschätzung	Chapter 1.6 in: Brendelberger, H., P. Martin, M. Brunke, & H.J. Hahn. Grundwassergeprägte Lebensräume. Limnologie. Stuttgart: Schweizerbart, 2015.	2015	NA	Germany	Palearctic	NA	Aquatic	Groundwater	NA	Not specific	Not specific	Not specific	All	NA	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summarizing current legislation and pointing out the gaps	Schmidt	Mammola
Other	Other_0095	Environmental Policy - Water Framework Directive - Summary of River Basin District Analysis 2004 in Germany“.	Federal Ministry for the Environment, Nature Conservation and Nuclear Safety (BMU), Germany, 2005.	2005	NA	Germany	Palearctic	NA	Aquatic	Groundwater	Area where EU legislation is valid	Not specific	Not specific	Not specific	All	NA	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summarizing current legislation and pointing out the gaps: 53% of groundwater is at risk of failing WFD, mainly because of diffuse nutrients (i.e. nitrate)	Schmidt	Mammola
Other	Other_0096	Grundwasser: Leben in ewiger Dunkelheit	Biologie in Unserer Zeit	2002	https://doi.org/10.1002/1521-415X(200202)32:2<110::AID-BIUZ110>3.0.CO;2-I	Germany	Palearctic	NA	Aquatic	Groundwater	NA	Not specific	Not specific	Not specific	All	NA	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pointing out the need for better legislation	Schmidt	Mammola
Other	Other_0097	Grundwasser - ein bisher verkannter Lebensraum	J. Ott (ed.): Biodiversität im Biosphärenreservat Pfälzerwald. Bund für Umwelt und Naturschutz Deutschland (BUND) Landesverband Rheinland-Pfalz e.V., 2004.	2004	NA	Germany	Palearctic	NA	Aquatic	Groundwater	NA	Not specific	Not specific	Not specific	All	NA	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pointing out the need for better legislation	Schmidt	Mammola
Other	Other_0098	Lebendiges Wasser: Forschungsagenda zur biologischen Vielfalt- Living water: Research agenda for biologogical diversity	15. BMBF-Forums für Nachhaltigkeit (13.-14. Mai 2019)	2019	https://doi.org/10.4126/FRL01-006414368.	Germany	Palearctic	NA	Aquatic	Groundwater	NA	Not specific	Not specific	Not specific	All	NA	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pointing out the need for better legislation of groundwater (caves not even mentioned !!!!! Reflecting the authors - sigh)	Schmidt	Mammola
Other	Other_0099	Ökologische Bewertung des Grundwassers: „Stygoregionen” als biogeographische Referenzen für den Lebensraum Grundwasser	Korrespondenz Wasserwirtschaft	2013	https://doi.org/10.3243/kwe.2013.07.001.	Germany	Palearctic	NA	Aquatic	Groundwater	NA	Not specific	Not specific	Not specific	All	NA	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pointing out the need for better legislation of groundwater - German rehash of the Stein et al. 2012 paper introducing stygoregions - which might become important for legislation	Schmidt	Mammola
Other	Other_0100	Das Grundwasser unter die Lupe nehmen: Lebensgemeinschaften als Anzeiger der Grundwasserqualität	Anliegen Natur	2020	NA	Germany	Palearctic	NA	Aquatic	Groundwater	NA	Not specific	Not specific	Not specific	All	NA	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pointing out the need for better legislation of groundwater	Schmidt	Mammola
Other	Other_0101	Bewertung von Altlasten im Grundwasser anhand der Meiofaunagemeinschaften - Erste Ergebnisse’. Grundwasser 1 (2005): 25–35.	Grundwasser – Zeitschrift der Fachsektion Hydrogeologie	2005	https://doi.org/10.1007/s00767-005-0067-x	Germany	Palearctic	2002-2003	Aquatic	Groundwater	Upstream, centre, and downstream of a contamination	Not specific	Not specific	Not specific	Pollution	Contamination from military use: volatile halogenated hydrocarbons (VOC)	Assessment	Risk assessment	NA	yes	Fauna community	Richness	5 Pollution zones	Kruskal Wallis test	H	NA	NA	33,00	Neutral	>0.05	NA	not convertible	NA	Schmidt	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Visitors	Disturbance from tourists and speleologists, lightnigh, rise in temperatures	Regulation	Regulate access	Avoid visits in hibernation/reproductive/swarming periods, when bats are present at sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Visitors	Disturbance from tourists and speleologists, lightnigh, rise in temperatures	Regulation	Gate	Avoid visits with bat-friendly gating	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Visitors	Turists and speleologist facilities installed for visits	Education	Education	Train personnelle involved in the management of underground sites on legal requirements for bats and their sites ; Realization of an information web portal	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Subterranean habitat change	Bad gating with vertical bars/grids or complete closures impeding bat passages or altering microclimatic condition	Regulation	Gate	Install bat-friendly forms of gating, with horizontal bars with the correct space between them	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Subterranean habitat change	Opening or closure of passages that alter microclimatic condition ; Cementification of cealing that do not offer any hold for bats ; Lightning of caves or mines, including their entrances	Restoration	Habitat restoration	Opening or closures able to restore microclimatic conditions favourable to bats ; Removal of lightling sources ; Application grids or panels	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Subterranean habitat change	Lightning of caves or mines, including their entrances ; Productive activities facilities installed	Education	Education	Information of people and technicians on the effects of light pollution ; Train personnelle involved in the management of underground sites on legal requirements for bats and their sites ; Realization of an information web portal	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Subterranean habitat change	Destruction of roost for lack of knowledge on bats	Monitoring	Monitoring	Survey on the presence of bats in all known underground sites, especially those present in private properties	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Visitors	Disturbance from tourists and speleologists, lightnigh, rise in temperatures	Education	Education	Training of visitors with the involvment of local Associations	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Subterranean habitat change	Destruction/change in the use of artificial abandoned mining sites	Regulation	Legislation	Application of existing laws and development of laws, regulations and guidelines to manage the environment sourrounding protected sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0103	Piano d'Azione per i Chirotteri del Piemonte	Technical report	2012	NA	Piedmont, Italy	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	28 bat species	Surface habitat change	Destruction of sourrounding habitats and pollution	Regulation	Legislation	Application of existing laws and development of laws, regulations and guidelines to manage the environment sourrounding protected sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Visitors	Visits from cavers, cave toursits, speleologists, lighting of fires, vandalisms, deliberate killing ; Productive activities and tourists facilities installed	Regulation	Legislation	Application of existing laws and development of laws, regulations and guidelines to manage the environment sourrounding protected sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Pollution	Waste disposal	Regulation	Legislation	Application of existing laws and development of laws, regulations and guidelines to manage the environment sourrounding protected sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Subterranean habitat change	Bad gating with vertical bars/grids or complete closures impeding bat passages or altering microclimatic condition	Regulation	Legislation	Application of existing laws and development of laws, regulations and guidelines to manage the environment sourrounding protected sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Visitors	Visits from cavers, cave toursits, speleologists, lighting of fires, vandalisms, deliberate killing	Regulation	Regulate access	Develop a cave grading system to address the issue of visists (from cave with no known interest to bats to caves with restricted access throughout the year)	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Pollution	Waste disposal	Education	Education	Work with existing groups and private owners to protect sites, develop a shared conservation code, put notices on important conservation sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Subterranean habitat change	Bad gating with vertical bars/grids or complete closures impeding bat passages or altering microclimatic condition	Education	Education	Work with existing groups and private owners to protect sites, develop a shared conservation code, put notices on important conservation sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Visitors	Visits from cavers, cave toursits, speleologists, lighting of fires, vandalisms, deliberate killing ; Productive activities and tourists facilities installed	Education	Education	Work with existing groups and private owners to protect sites, develop a shared conservation code, put notices on important conservation sites	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Visitors	Visits from cavers, cave toursits, speleologists, lighting of fires, vandalisms, deliberate killing	Regulation	Gate	Installation of suitable grilles or fences depending on bat species, and disturbance of fences should be tested	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Pollution	Poisonous gas accumulation	Restoration	Habitat restoration	Removal of blockage to air flow or closure of bat sites to prevent bats' death	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Subterranean habitat change	Rock falls or collapses ; Lightning of caves or mines, including their entrances	Restoration	Habitat restoration	Secure the site by experienced personnelle ; Prevent or remove artificial lightning, including lightnining sources from streets	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Surface habitat change	Growth of vegetation that prevents the access to the site	Restoration	Habitat restoration	Maintain vegetation to provide sheltered flight paths bu remove vegetation impeding the access	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Subterranean habitat change	Lightning of caves or mines, including their entrances	Restoration	Habitat restoration	Prevent or remove artificial lightning, including lightnining sources from streets	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Europe	Palearctic	NA	Terrestrial	Artificial ; Cave	Undergroun roosts/hibernation/swarming sites	Bats	Mammalia: Chiroptera	All European species	Pollution	Burning of vegetation in the surrounding of sites and storing of volatile liquids	Restoration	Habitat restoration	Control of emissions	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	UK	Palearctic	1976-2006	Terrestrial	Artificial	Greywell Tunnell	Bats	Mammalia: Chiroptera	Myotis nattereri ; Myotis daubentonii ; Myotis mystacinus ; Myotis brandtii ; Myotis bechsteinii ; Plecotus auritus ; Pipistrellus pipistrellus	Visitors	NA	Regulation	Gate	Installation of grille	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Hungary	Palearctic	NA	Terrestrial	Artificial	Király-bányák mines	Bats	Mammalia: Chiroptera	Rhinolophus ferrumequinum ; Rhinolophus hipposideros ; Barbastella barbastellus ; Plecotus auritus	Subterranean habitat change	four straight tunnels collapsed	Restoration	Habitat restoration	new entrances were buldt	no	NA	NA	NA	NA	NA	NA	NA	NA	Positive	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0104	Protection of overground roosts for bats - 5th edition	EUROBATS Publication Series No. 4	2017	NA	Portugal	Palearctic	1996-2006	Terrestrial	Artificial	Moura artificial gallery	Bats	Mammalia: Chiroptera	Rhinolophus ferrumequinum ; Rhinolophus hipposideros ; Rhinolophus mehelyi ; Myotis myotis ; Myotis daubentonii ; Miniopterus schreibersii	Subterranean habitat change	abandoned mines were flooded by the constructions of Alqueva and Pedrógão reservoires	Restoration	Habitat creation	excavation of artificial galleries	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Garzoli	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Surface habitat change	Land clearance and agricultural activities ; fire	Assessment	Risk assessment	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Surface habitat change	Land clearance and agricultural activities ; fire	Protection	Protected area	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Surface habitat change	Land clearance and agricultural activities ; fire	Restoration	Habitat restoration	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Surface habitat change	Land clearance and agricultural activities ; fire	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Surface habitat change	Land clearance and agricultural activities ; fire	Education	Education	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Subterranean habitat change	Quarrying and flooding	Assessment	Risk assessment	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Subterranean habitat change	Quarrying and flooding	Protection	Protected area	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Subterranean habitat change	Quarrying and flooding	Restoration	Habitat restoration	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Subterranean habitat change	Quarrying and flooding	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Subterranean habitat change	Quarrying and flooding	Education	Education	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Visitors	NA	Assessment	Risk assessment	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Visitors	NA	Protection	Protected area	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Visitors	NA	Restoration	Habitat restoration	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Visitors	NA	Regulation	Legislation	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0105	Conservation of cave fauna in Australia	Proceedings of the Twelfth Australasian Conference on Cave and Karst Management	1998	http://www.ackma.org/Proceedings/proceed/12/ausfauna.html	Australia	Australasian	NA	All	Cave	NA	Not specific	Not specific	Not specific	Visitors	NA	Education	Education	NA	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
Other	Other_0106	Management Prescriptions for Tasmania's Cave Fauna	Report to Tasmanian RFA Environment and Heritage Technical Committee 	1997	NA	Tasmania	Australasian	NA	All	Cave	Karst and caves in forested areas	Arthropoda ; Other invertebrates	Arthropoda ; Other invertebrates	Invertebrates	Surface habitat change	Various modification, including fire as a management tool	Protection	Protected area	cave invertebrate species protection; habitat protection (including karst surface environments and catchments)	no	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Mammola	Mammola
